,heading,url,rent,date posted,beds,sqft
7478105674,Updated Kitchen & Bath! Large Open Studio! Heat & Gas Included!,https://chicago.craigslist.org/chc/apa/d/chicago-updated-kitchen-bath-large-open/7478105674.html,950,2022-05-01 06:43,0,0
7478066954,Coach House 2 Bedroom,https://chicago.craigslist.org/chc/apa/d/chicago-coach-house-bedroom/7478066954.html,1200,2022-04-30 22:35,2,800
7478063739,Prime Lincoln Park Location Close to the Lake and Park,https://chicago.craigslist.org/chc/apa/d/chicago-prime-lincoln-park-location/7478063739.html,1875,2022-04-30 22:14,1,0
7478062069,Northbrook 3 BR 2 BA House for rent,https://chicago.craigslist.org/nch/apa/d/glencoe-northbrook-br-ba-house-for-rent/7478062069.html,2750,2022-04-30 22:04,3,0
7478061084,"3 BED, 1 BATH NEW REMODEL",https://chicago.craigslist.org/chc/apa/d/chicago-bed-bath-new-remodel/7478061084.html,1800,2022-04-30 21:58,3,1000
7478050787,Luxury One Bed in Historic Synagogue - Wow Amenities,https://chicago.craigslist.org/chc/apa/d/chicago-luxury-one-bed-in-historic/7478050787.html,1750,2022-04-30 21:04,1,640
7478040072,HYDE PK 1 BDRM CONDO W/LAKE VIEWS,https://chicago.craigslist.org/chc/apa/d/chicago-hyde-pk-bdrm-condo-lake-views/7478040072.html,1500,2022-04-30 20:15,1,0
7478035604,Townhouse for Rent,https://chicago.craigslist.org/nwc/apa/d/aurora-townhouse-for-rent/7478035604.html,1395,2022-04-30 19:58,3,1800
7478027553,"Maplewood/172th,Updated,FinishedBasement,HugeFencedYard,ByHwy80/94",https://chicago.craigslist.org/nwi/apa/d/hammond-maplewood/7478027553.html,1595,2022-04-30 19:27,3,1800
7478023240,Fabulous 2B townhouse in Prime Lincoln Park Location!,https://chicago.craigslist.org/chc/apa/d/chicago-fabulous-2b-townhouse-in-prime/7478023240.html,3300,2022-04-30 19:12,2,1250
7478021835,Updated 1 Bed/1 Bath in Highland Park,https://chicago.craigslist.org/nch/apa/d/highland-park-updated-bed-bath-in/7478021835.html,1515,2022-04-30 19:07,1,700
7478020217,Nice Bi-Level Home for Rent,https://chicago.craigslist.org/nch/apa/d/streamwood-nice-bi-level-home-for-rent/7478020217.html,1750,2022-04-30 19:01,3,1500
7478016823,"BIG Studio/1bath gym, elevator, dogs/cats, CTA Red line and LAKE",https://chicago.craigslist.org/chc/apa/d/chicago-big-studio-1bath-gym-elevator/7478016823.html,995,2022-04-30 18:50,0,0
7478012404,"Great 1 Bed, Top Floor, Small Deck, Pets OK, AC",https://chicago.craigslist.org/chc/apa/d/chicago-great-bed-top-floor-small-deck/7478012404.html,1495,2022-04-30 18:36,1,0
7478010954,Original Bucktown Coach house,https://chicago.craigslist.org/chc/apa/d/chicago-original-bucktown-coach-house/7478010954.html,5500,2022-04-30 18:31,2,2000
7478007837,ICO/IIT - 3BR 2BA Windowed Wonder,https://chicago.craigslist.org/chc/apa/d/chicago-ico-iit-3br-2ba-windowed-wonder/7478007837.html,2675,2022-04-30 18:21,3,1375
7478005444,"2 bedroom Apt, DeKalb - heat,water, parking incld -June 15th, 2022",https://chicago.craigslist.org/wcl/apa/d/dekalb-bedroom-apt-dekalb-heatwater/7478005444.html,700,2022-04-30 18:14,2,840
7477997988,Spacious One Bedroom Plus Den Apt. A Must See! West Town/Ukranian Vlg,https://chicago.craigslist.org/chc/apa/d/spacious-one-bedroom-plus-den-apt-must/7477997988.html,1075,2022-04-30 17:52,1,1075
7477982103,2 bed UPDATED Kitch-Bath-U ONLY PAY ELEC-Parking!,https://chicago.craigslist.org/nch/apa/d/chicago-bed-updated-kitch-bath-only-pay/7477982103.html,1375,2022-04-30 17:06,2,0
7477979461,2bed/1bath ..2nd floor apt in quiet 6 unit brick bldg,https://chicago.craigslist.org/nwc/apa/d/des-plaines-2bed-1bath-2nd-floor-apt-in/7477979461.html,1350,2022-04-30 17:00,2,900
7477977290,1 bed + office/den or cozy 2 bed - Bell School District,https://chicago.craigslist.org/chc/apa/d/chicago-bed-office-den-or-cozy-bed-bell/7477977290.html,1620,2022-04-30 16:54,2,0
7477974368,WOW ON WELLINGTON! 2Bed/2Bath For Rent,https://chicago.craigslist.org/chc/apa/d/chicago-wow-on-wellington-2bed-2bath/7477974368.html,3450,2022-04-30 16:46,2,0
7477970988,LG 2 Bedroom AT THE LAKE w  Views of Lake Michigan & Tobey Prinz Beach,https://chicago.craigslist.org/chc/apa/d/chicago-lg-bedroom-at-the-lake-views-of/7477970988.html,1895,2022-04-30 16:37,2,1000
7477966113,Sunny Condo-Quality 2Bed High 1st Floor /Garage Parking Included,https://chicago.craigslist.org/chc/apa/d/chicago-sunny-condo-quality-2bed-high/7477966113.html,1595,2022-04-30 16:25,2,1200
7477957665,Great 3 bed / 2 bath! We Love Pets! Ask about our Pet Policy,https://chicago.craigslist.org/nwc/apa/d/glen-ellyn-great-bed-bath-we-love-pets/7477957665.html,2245,2022-04-30 16:05,3,1176
7477942247,"$1,800 / 2br - 1 bath apt for rent - Ashland Ave & Cortez",https://chicago.craigslist.org/chc/apa/d/chicago-br-bath-apt-for-rent-ashland/7477942247.html,1800,2022-04-30 15:28,2,1000
7477936672,2 BR 1.5 BA Townhouse with Garage,https://chicago.craigslist.org/nwc/apa/d/barrington-br-15-ba-townhouse-with/7477936672.html,1650,2022-04-30 15:15,2,1100
7477931612,Lake View 2br Apt For Rent!,https://chicago.craigslist.org/chc/apa/d/chicago-lake-view-2br-apt-for-rent/7477931612.html,1950,2022-04-30 15:03,2,0
7477927822,Rehabbed 2 Bed w. New Kitchen and Bathroom in Lincoln Park! ***,https://chicago.craigslist.org/chc/apa/d/chicago-rehabbed-bed-new-kitchen-and/7477927822.html,1795,2022-04-30 14:56,2,0
7477920119,Huge 3 Bed / 1.5 BA in Ukranian Village!!,https://chicago.craigslist.org/chc/apa/d/chicago-huge-bed-15-ba-in-ukranian/7477920119.html,2250,2022-04-30 14:38,3,1300
7477918481,Looking for the ideal 2 bed / 2 bath? Check out Residences at Lakeside!,https://chicago.craigslist.org/nwc/apa/d/glen-ellyn-looking-for-the-ideal-bed/7477918481.html,1840,2022-04-30 14:35,2,1042
7477917043,"""Like A Great Vintage Wine""",https://chicago.craigslist.org/wcl/apa/d/like-great-vintage-wine/7477917043.html,2100,2022-04-30 14:32,3,0
7477916102,Clean brick 6-Flat - 2 Bedroom Apartment Available.,https://chicago.craigslist.org/wcl/apa/d/oak-park-clean-brick-flat-bedroom/7477916102.html,1500,2022-04-30 14:30,2,0
7477915282,HIGH END 1 BEDROOM APARTMENT,https://chicago.craigslist.org/wcl/apa/d/high-end-bedroom-apartment/7477915282.html,1200,2022-04-30 14:28,1,0
7477914349,Impressive modren airy 1bedroom apt open-plan w- alot style w/dry AC,https://chicago.craigslist.org/chc/apa/d/chicago-impressive-modren-airy-1bedroom/7477914349.html,1350,2022-04-30 14:26,1,950
7477902803,"SPACIOUS 3BD/3BA, 6/1, PARKING INCL (14-month lease or 2-month suble)",https://chicago.craigslist.org/chc/apa/d/chicago-spacious-3bd-3ba-1-parking-incl/7477902803.html,3505,2022-04-30 14:02,3,1300
7477902602,Vintage Garden Apartment in the heart of Lincoln Park,https://chicago.craigslist.org/chc/apa/d/vintage-garden-apartment-in-the-heart/7477902602.html,1100,2022-04-30 14:01,1,600
7477888824,2 BEDROOM EVERYTHING BRAND NEW NO SECURITY DEPOSIT ERIE & MENARD,https://chicago.craigslist.org/wcl/apa/d/oak-park-bedroom-everything-brand-new/7477888824.html,1300,2022-04-30 13:32,2,0
7477884355,"LARGE Studio/1bath, in-unit laundry, gym, CTA Red, Lake, Loyola Un.",https://chicago.craigslist.org/chc/apa/d/chicago-large-studio-1bath-in-unit/7477884355.html,1270,2022-04-30 13:23,0,0
